ID,TimeControl,Date,ECO,Color,Result,OpponentGlicko,UserGlicko,termination
PCollFbc,900+10,2025-08-09,C57,Black,Loss,1111,1207,Normal
ReclpZeC,900+10,2025-08-09,C44,Black,Loss,1197,1213,Normal
BVFMHfxl,900+10,2025-08-09,C50,White,Loss,1197,1219,Normal
o4Fjtsrh,900+10,2025-08-09,C50,White,Loss,1314,1223,Normal
Kzk6FzEZ,900+10,2025-08-09,C45,Black,Loss,1117,1230,Normal
UWvBWTop,900+10,2025-08-09,C67,Black,Loss,1177,1237,Normal
iFqVITNc,900+10,2025-08-09,C50,Black,Loss,1244,1242,Normal
M0b2Lqht,900+10,2025-08-09,C50,White,Loss,1250,1248,Normal
oCMjLJj9,900+10,2025-08-08,B01,White,Win,1344,1240,Normal
9CtcCpTl,900+10,2025-08-08,C20,Black,Win,1143,1236,Normal
TCUqES07,900+10,2025-08-08,C54,White,Win,1284,1229,Normal
G0zM2ZlV,900+10,2025-08-07,C50,White,Win,1340,1224,Time forfeit
0ynrYBfR,900+10,2025-08-07,C44,Black,Win,1217,1219,Normal
cYYeOdbz,900+10,2025-08-07,C40,White,Win,1276,1212,Normal
GA0mZnb5,900+10,2025-08-07,C45,Black,Loss,1094,1219,Normal
7D0tOo1Z,900+10,2025-08-06,B30,White,Win,1281,1213,Time forfeit
ZeZwYKdB,900+10,2025-08-06,C50,Black,Win,1204,1207,Normal
U2gh2CbJ,600+0,2025-08-05,C02,White,Win,1237,1202,Normal
AksDPRa1,600+0,2025-08-05,C50,White,Loss,1197,1208,Normal
CRJLag7q,900+10,2025-08-05,C54,Black,Loss,1243,1213,Normal
UFhW3hrz,900+10,2025-08-05,C54,Black,Draw,1193,1213,Normal
1rxsDldb,900+10,2025-08-05,B30,White,Win,1117,1209,Normal
8DnwOjSu,900+10,2025-08-05,C50,Black,Win,1229,1203,Normal
0uOhizN6,900+10,2025-08-05,C55,White,Loss,1264,1208,Normal
MdzE30hM,600+0,2025-08-05,C50,Black,Loss,1213,1213,Normal
RwmcEUaz,600+0,2025-08-04,C41,White,Win,1277,1207,Normal
v4J2NYra,900+10,2025-08-04,D00,White,Win,1140,1202,Normal
KlWczv9P,900+10,2025-08-04,D11,Black,Loss,1244,1207,Normal
KCB8lZEp,900+10,2025-08-04,C44,Black,Loss,1154,1213,Normal
6Xh2jRKI,900+10,2025-08-04,C70,Black,Win,1248,1207,Normal
mltfSGek,900+10,2025-08-04,C57,Black,Loss,1214,1213,Normal
0TNi5m4s,900+10,2025-08-04,D00,White,Loss,1213,1219,Normal
Ndn5yArc,900+10,2025-08-03,D05,Black,Win,1059,1215,Normal
UrcZyBQE,900+10,2025-08-03,C44,Black,Win,1140,1211,Normal
YLLQ6Oqg,900+10,2025-08-03,C57,Black,Loss,1315,1215,Normal
HH1MEVGU,900+10,2025-08-03,C50,White,Loss,1216,1221,Normal
E9ehpNuS,900+10,2025-08-02,C45,Black,Win,1241,1215,Normal
TtyYHmym,900+10,2025-08-02,B00,White,Win,1219,1209,Normal
0sY5IXvy,900+10,2025-08-02,B50,White,Win,1107,1204,Normal
kugmrUcv,900+10,2025-08-02,C42,White,Win,1200,1199,Normal
tmEb3xXC,900+10,2025-08-02,C50,Black,Loss,1232,1204,Normal
N11q3tQC,900+10,2025-07-31,C44,Black,Win,1176,1199,Normal
atkuplfF,900+10,2025-07-31,C57,White,Loss,1206,1204,Normal
SPC6Lnjw,900+10,2025-07-30,C50,Black,Win,1234,1198,Normal
57FwQyR0,900+10,2025-07-30,C41,White,Win,1279,1191,Normal
K6U8pRXz,900+10,2025-07-30,B00,White,Loss,1175,1197,Normal
FXZbIYuO,900+10,2025-07-30,B13,White,Win,1269,1190,Normal
gOcCs99x,900+10,2025-07-30,D01,Black,Win,1144,1185,Normal
ftu1H9hv,900+10,2025-07-30,C45,Black,Loss,1187,1190,Normal
h1jOVb54,900+10,2025-07-30,D10,Black,Win,1081,1186,Normal
AKGqyu0q,900+10,2025-07-30,B30,White,Win,1255,1179,Time forfeit
JrK4nQCP,900+10,2025-07-30,C41,White,Loss,1165,1185,Normal
8QHAzedp,900+10,2025-07-30,C50,Black,Loss,1219,1191,Normal
M8CWPdUi,900+10,2025-07-30,C02,White,Win,1115,1186,Normal
9algbVIO,900+10,2025-07-30,C44,Black,Win,1207,1180,Normal
6PThyASi,600+0,2025-07-29,B00,White,Loss,1166,1186,Normal
Sf58FOpO,600+0,2025-07-29,C50,Black,Draw,1163,1186,Normal
tFaq13AI,900+10,2025-07-29,B30,White,Draw,1188,1186,Normal
D3zE9qPM,900+10,2025-07-29,A00,Black,Loss,1203,1191,Normal
sXX9ZSQk,900+10,2025-07-29,C44,Black,Win,1129,1187,Time forfeit
diT93MUu,900+10,2025-07-29,C50,White,Loss,1160,1193,Normal
1Wc4O64T,900+10,2025-07-29,C55,Black,Win,1187,1187,Normal
5XejQK56,900+10,2025-07-29,C46,Black,Win,1169,1181,Normal
2GN2g7Wf,900+10,2025-07-29,B27,White,Loss,1110,1188,Normal
XttOaKu1,900+10,2025-07-29,C48,Black,Loss,1188,1194,Normal
LjThPkV2,900+10,2025-07-29,C50,White,Draw,1178,1194,Normal
BS0anvg1,900+10,2025-07-29,C55,White,Win,1284,1187,Time forfeit
kukgpLFJ,900+10,2025-07-29,C57,Black,Loss,1148,1193,Normal
3Ocnzfml,900+10,2025-07-29,C57,Black,Win,1123,1189,Normal
cmft28qJ,900+10,2025-07-28,C40,White,Win,1184,1182,Normal
3ciCn6nN,900+10,2025-07-28,C78,Black,Win,1121,1177,Normal
fRZezPp6,900+10,2025-07-28,C01,White,Win,1118,1172,Normal
60PYLQNV,900+10,2025-07-28,B13,White,Loss,1192,1178,Normal
3ZCQE2Bk,900+10,2025-07-28,D10,Black,Win,1190,1171,Normal
4BoOu257,900+10,2025-07-28,C20,Black,Win,1205,1164,Time forfeit
3KOUDfBm,900+10,2025-07-28,B30,White,Loss,1184,1170,Normal
dX7qMU1d,900+10,2025-07-27,D00,Black,Win,1171,1164,Normal
jECiCfuq,900+10,2025-07-27,C20,Black,Win,1168,1157,Normal
xrFSIWR2,900+10,2025-07-27,C41,White,Win,1172,1149,Normal
CF89dF2m,900+10,2025-07-27,C00,White,Win,1082,1144,Normal
lc58ev7P,900+10,2025-07-27,C50,White,Loss,1171,1150,Normal
lwgyjIiC,900+10,2025-07-27,C45,Black,Loss,1104,1158,Normal
QBSjLcNK,900+10,2025-07-27,D02,Black,Loss,1253,1163,Normal
JHkgBTMm,900+10,2025-07-27,C50,Black,Win,1103,1157,Normal
4aQjAx6d,900+10,2025-07-25,B13,White,Win,1153,1149,Normal
hvj1OEnA,900+10,2025-07-24,C00,White,Win,1159,1142,Normal
1AdsJWVq,900+10,2025-07-24,C50,White,Win,1130,1134,Normal
SbOIoA8t,900+10,2025-07-23,C54,Black,Win,1194,1125,Normal
2Unvb9ZS,900+10,2025-07-23,C50,Black,Win,1148,1117,Normal
dnA1vxSM,900+10,2025-07-23,C50,Black,Win,1197,1107,Normal
kYJqim0S,900+10,2025-07-22,C50,White,Win,1079,1100,Normal
cvQccFS9,900+10,2025-07-22,C50,White,Loss,1082,1108,Normal
BJwvdjS8,900+10,2025-07-22,D00,Black,Win,1063,1101,Normal
lDQi8qfZ,900+10,2025-07-22,C50,Black,Loss,1120,1109,Normal
WAjpiZ2Q,900+10,2025-07-22,C57,Black,Loss,1220,1115,Normal
dLKIXq5i,900+10,2025-07-22,B00,White,Win,1136,1105,Normal
iwU2or14,900+10,2025-07-22,C50,White,Loss,1132,1114,Normal
WmVUZIbz,900+10,2025-07-22,C46,Black,Loss,1136,1123,Normal
bQZ2w0d1,900+10,2025-07-22,C54,Black,Draw,1020,1125,Normal
YlfrldZQ,900+10,2025-07-21,C40,White,Win,1167,1114,Normal
POqx1toI,900+10,2025-07-21,C53,Black,Loss,1040,1126,Normal
9olfIhNz,900+10,2025-07-21,B07,White,Win,1155,1116,Normal
h4paudfc,900+10,2025-07-21,C50,White,Loss,1052,1128,Normal
Dio86oVs,900+10,2025-07-19,C54,White,Win,1100,1120,Normal
etKbZFli,900+10,2025-07-19,C46,Black,Win,1095,1110,Normal
GFygvYp8,900+10,2025-07-13,C58,Black,Win,1108,1099,Time forfeit
SgtlByIs,900+10,2025-07-12,B12,White,Win,1068,1090,Normal
JUBITZ66,900+10,2025-07-11,D10,Black,Win,1041,1081,Normal
9kQ7obl3,900+10,2025-07-11,C44,Black,Loss,1070,1092,Normal
DUyeJSrS,600+5,2025-07-11,C50,Black,Win,1135,1080,Normal
2co4O5hw,900+10,2025-07-11,C50,White,Loss,1101,1090,Normal
ZzXyxHoB,900+10,2025-07-11,C55,White,Loss,1217,1098,Normal
FVDOzjrH,900+10,2025-07-11,C44,Black,Loss,1056,1109,Normal
F8Ca3lyy,900+10,2025-07-10,C58,Black,Win,1113,1096,Normal
5caeh56B,900+10,2025-07-08,B27,White,Win,1086,1084,Normal
b2VyHZAU,900+10,2025-07-08,B30,White,Win,1033,1073,Normal
G1IJA2Lg,900+10,2025-07-07,C46,Black,Loss,984,1103,Time forfeit
rpbbKV9o,900+10,2025-07-07,C26,Black,Loss,1038,1103,Time forfeit
FkbGIHFU,900+10,2025-07-06,C26,Black,Win,1195,1085,Normal
fr16vdjQ,900+10,2025-07-06,C50,White,Win,995,1074,Normal
pF3pOF3u,600+5,2025-07-05,C46,White,Win,1106,1058,Normal
iZHyS2Qa,600+5,2025-07-05,C21,Black,Loss,1092,1072,Normal
